Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Cameroon,CMR,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,79112640283,84392895096,90037541682,95849164013,1.00959E+11
Cameroon,CMR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3437.789826,3559.13512,3691.094724,3822.232765,3915.827499
Cameroon,CMR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.666952987,4.535794237,3.541176549,3.955514239,3.475059982
Cameroon,CMR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,694336734.9,663893595.2,814458940.9,765092012.8,1024779238
Cameroon,CMR,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,48.8,57.7,57.7,57.7,57.7
Cameroon,CMR,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,41.89121,41.7675,45.05227,46.00492,46.09974
Central African Republic,CAF,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,591.211698,592.6056151,580.6567496,555.4464584,585.9110132
Central African Republic,CAF,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3536183568,3861897992,4195263791,4458919449,4679615556
Central African Republic,CAF,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,733.7495807,787.4711684,839.6000095,875.1937178,898.3153199
Central African Republic,CAF,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.33712103,4.750316841,4.527278213,3.789443593,3.1
Central African Republic,CAF,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,3000000,7256090.484,6888751.401,18003535.46,25601157.29
Central African Republic,CAF,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,73.3,73.3,73.3,73.3,73.3
Central African Republic,CAF,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,32.01455,31.95495,32.35174,34.83372,35.56585
Chad,TCD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,591.211698,592.6056151,580.6567496,555.4464584,585.9110132
Chad,TCD,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,25682812591,24238063014,23832085167,24984406916,26258452919
Chad,TCD,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1816.288184,1660.984878,1579.7606,1601.132445,1628.242767
Chad,TCD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.767675685,-6.255527085,-2.988695986,2.3740378,3.247181917
Chad,TCD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,559642022.5,244682121,363381636.4,460890507.7,566638948
Chad,TCD,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,63.5,63.5,63.5,63.5,63.5
Chad,TCD,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,35.29956,36.00847,35.52606,36.66065,36.93568
China,CHN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,6.227488673,6.644477829,6.758755086,6.615957177,6.90838501
China,CHN,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,1.77967E+13,1.87121E+13,1.9887E+13,2.17397E+13,2.34466E+13
China,CHN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,12897.50229,13483.37727,14243.53261,15497.82574,16655.39936
China,CHN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.041328879,6.848762204,6.947200793,6.749773833,5.950500754
China,CHN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2.42489E+11,1.7475E+11,1.66084E+11,2.35365E+11,1.8717E+11
China,CHN,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,67.9,68.2,66.5,64,59.2
China,CHN,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,62.27669,63.79116,64.20096,73.30366,77.28424
Colombia,COL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2741.781667,3055.255,2951.486911,2955.70397,3281.622194
Colombia,COL,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,6.304E+11,6.65398E+11,6.93117E+11,7.47103E+11,8.07591E+11
Colombia,COL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,13378.67515,13971.33534,14334.91058,15161.31273,16091.50445
Colombia,COL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.955901375,2.087382502,1.359360868,2.564324283,3.186855392
Colombia,COL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,11620532646,13857937721,13700880445,11298692774,13989154028
Colombia,COL,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,72.3,72.2,72.3,71.9,71.2
